"","bronchioid","magnoid","squamoid"
"CYP4B1",2.12479244429773,-0.496614353471548,-1.19048091532228
"TOP2A",-0.987734165117918,0.662721780608037,0.727753027231344
"MTHFD2",-0.838036462196234,0.488967068402639,0.365443962005855
"CCNB1",-1.02321679853419,0.530705812524099,0.542098415493279
"RRM2",-1.23766345355652,0.469476516791397,0.80214946520004
"PRC1",-1.06186577286175,0.542792591481642,0.507554718925394
"ASPM",-0.822571753425509,0.611099522580473,0.711797882730496
"SFTPC",1.70978449121642,-1.03031065545217,-1.5259921641215
"CTSH",0.994144170235887,-0.519559808286528,-0.467720973135194
"MAD2L1",-0.663274465039874,0.504068568483849,0.633932556855246
"CEP55",-0.689129826704657,0.626299211112275,0.702142908567194
"ZWINT",-0.825380874443058,0.489143342436898,0.394002398089199
"MELK",-0.737010585916043,0.363067993224996,0.594287843349095
"ECT2",-0.76072981768534,0.670489010120671,0.413101626379459
"ADH1B",1.04060713773668,-0.341573401641206,-0.378436715929888
"C1orf116",1.06176454108658,-0.506512302512127,-0.515630480327822
"BUB1B",-0.658453621030197,0.438659563287627,0.543092250995827
"HSD17B6",1.15785789804579,-0.228289814638700,-0.179589025145948
"RNASE1",0.966521707110366,-0.745784913077202,-0.34177340602009
"RACGAP1",-0.700576447261577,0.406750375663817,0.382148014299842
"CKS2",-0.927162769388405,0.399488295728379,0.49209784466823
"PLOD2",-1.01094823849379,0.389577841396341,0.888311351764784
"GPR116",1.16136177379558,-0.471185930984158,-0.467457876924811
"SFTPD",1.08912067719684,-0.515165168688665,-0.840922054834772
"MLF1IP",-0.766155922470122,0.396520032848435,0.730143205402604
"SCGB1A1",2.7096635066664,-0.67486645214402,-1.24643705124482
"CDKN3",-0.711188603143329,0.448702281633238,0.781515247401569
"MCM6",-0.690557260097652,0.302809243997058,0.500574742196598
"TPX2",-0.761175506281937,0.42290435010245,0.731929752788372
"FOLR1",1.07084639570982,-0.537040961454014,-1.13125139765799
"GGH",-0.695659075962768,0.440649159714338,0.517369267575218
"KIF4A",-0.733949326683321,0.350057872198865,0.692854298683952
"PBK",-0.434503372955675,0.588151895884737,0.281823042616093
"PAICS",-0.637747896295037,0.33286552830751,0.307727076568774
"UBE2S",-0.691618188405908,0.511776843959253,0.509587193687291
"CDC2",-0.699117414572931,0.377517379911423,0.363514269827085
"SELENBP1",0.831179508678586,-0.283690770619069,-1.06375546281427
"DLG7",-0.491586477147445,0.475646361839131,0.549853757731964
"PIGR",0.744861670232413,-0.262644125309928,-0.344261739201005
"TMPRSS2",0.748843639916578,-0.347442509028727,-0.661627683201607
"CDC20",-0.954278674085145,0.407265347909919,0.79697724286465
"FIGF",0.785306741980007,-0.177727633140862,-0.322183112417292
"TYMS",-0.662028887524922,0.368518753231281,0.679070495877278
"MFAP4",0.880476772098762,-0.492693293980754,0.0354520188064438
"CCNB2",-0.57127453961602,0.40067325525158,0.501774992544537
"TRIP13",-0.599322479842505,0.455069103232875,0.456385185344674
"SCTR",0.636707706346903,-0.168313010384741,-0.244162926692614
"GCH1",-0.727424002843902,0.424868283447407,0.356269987714144
"FMO2",0.730950320134715,-0.341659858693696,-0.41197050040269
"AQP1",1.05383138890902,-0.451089183470606,-0.399433946012779
"PSMD14",-0.596190476951107,0.193328730162291,0.199313024597206
"DSP",-0.910640225304164,0.580911315356,0.0156529047911089
"CACNA2D2",1.14399375060853,-0.254825787596289,-1.18743991196000
"C7",0.984778399079648,-0.491947939734808,-0.193709662162058
"CRYM",0.765209809380639,-0.0949980667304184,-0.649281940836183
"PLLP",0.750131961872283,-0.297554954673663,-0.463459225777654
"RFC4",-0.565663581802535,0.335790097025124,0.618180596236719
"SLC34A2",0.660979162564512,-0.474536305243157,-0.511412299102657
"TPPP3",0.699112567502488,-0.270796230132806,-0.344123384247255
"C4orf31",0.83745560839084,-0.601690238123978,-0.581437899154702
"GREM1",-1.17748429541827,0.111908028355171,1.33900829380477
"C4BPA",0.857249079144576,-0.271642934878129,-1.19399719398416
"MRPL42",-0.522090051797177,0.335156977355442,0.182294092631299
"DTL",-0.638726498411502,0.224596254856423,0.348752103015879
"CEBPA",0.717667118324463,-0.377897968897818,-0.170804557138528
"UCK2",-0.683352599815698,0.44398585988213,0.192953506543725
"HLA-DMA",0.563297283156639,-0.785616091322415,0.137595534230739
"SULF1",-0.80001274255609,0.124968808116272,0.920357521104782
"HSPD1",-0.424820678481756,0.380486485445060,0.0777957799575351
"PFN2",-0.893786482313727,0.686624753413007,0.371064285330966
"HMGB2",-0.651947405114527,0.308874068350542,0.375998611068615
"GINS1",-0.622106216013792,0.581581072542078,0.256661973356072
"SLC7A5",-0.648235638764288,0.424165563285284,0.175073095658696
"KPNA2",-0.600010170106566,0.278410801447376,0.239259597946130
"CFD",0.755612886621407,-0.465630485704231,0.056669062341415
"CYP24A1",-0.50443682162175,1.12477850657911,0.303993252843035
"GGTLA4",0.685747464389548,-0.255249736961076,-0.567998150986655
"HLA-DQB1",0.634558890731697,-0.893059109421674,0.365848045884494
"UBE2C",-0.897599365071463,0.291946702139861,0.636152057209829
"CENPF",-0.399546774791338,0.32907292354737,0.335292791814566
"TDG",-0.380757175838182,0.503468421763112,0.061627218078411
"PTGDS",0.679674887317364,-0.626067247258487,0.0707213312022965
"NCAPG2",-0.514210469245705,0.247740108849186,0.389477083760378
"NUSAP1",-0.571938033299781,0.325174605132959,0.284685971046069
