sampleId,expression_subtype
TCGA-78-7143,TRU
TCGA-78-7145,Proximal Inflammatory
TCGA-78-7147,TRU
TCGA-78-7148,Proximal Proliferative
TCGA-78-7149,Proximal Proliferative
TCGA-78-7150,Proximal Proliferative
TCGA-78-7152,TRU
TCGA-78-7153,Proximal Proliferative
TCGA-78-7154,Proximal Proliferative
TCGA-78-7155,Proximal Inflammatory
TCGA-78-7156,Proximal Proliferative
TCGA-78-7158,TRU
TCGA-78-7159,Proximal Proliferative
TCGA-78-7160,Proximal Proliferative
TCGA-78-7161,Proximal Proliferative
TCGA-78-7162,TRU
TCGA-78-7163,TRU
TCGA-78-7166,Proximal Proliferative
TCGA-78-7167,Proximal Proliferative
TCGA-78-7535,Proximal Inflammatory
TCGA-78-7536,Proximal Proliferative
TCGA-78-7537,TRU
TCGA-78-7539,TRU
TCGA-78-7540,TRU
TCGA-78-7542,Proximal Inflammatory
TCGA-78-7633,Proximal Proliferative
TCGA-80-5607,TRU
TCGA-80-5608,Proximal Proliferative
TCGA-86-6562,Proximal Inflammatory
TCGA-86-6851,Proximal Inflammatory
TCGA-86-7713,Proximal Proliferative
TCGA-86-7714,TRU
TCGA-91-6828,Proximal Proliferative
TCGA-91-6829,Proximal Inflammatory
TCGA-91-6835,Proximal Inflammatory
TCGA-91-6840,Proximal Proliferative
TCGA-91-6847,Proximal Inflammatory
TCGA-91-6849,TRU
TCGA-91-7771,TRU
TCGA-93-7347,TRU
TCGA-93-7348,TRU
TCGA-95-7039,Proximal Inflammatory
TCGA-95-7043,Proximal Proliferative
TCGA-95-7567,Proximal Inflammatory
TCGA-95-7947,Proximal Inflammatory
TCGA-95-7948,Proximal Inflammatory
TCGA-97-7546,TRU
TCGA-97-7552,TRU
TCGA-97-7553,TRU
TCGA-97-7554,Proximal Inflammatory
TCGA-97-7937,Proximal Inflammatory
TCGA-97-7938,TRU
TCGA-97-7941,TRU
TCGA-99-7458,TRU
